"Exp","DayOfImaging","Watering.Regime","Mean","NSFTV.ID"
"E1",4,"Low water",33296,"NSFTV_643"
"E1",5,"Control",48026,"NSFTV_643"
"E1",5,"Low water",41493,"NSFTV_643"
"E1",6,"Control",58778,"NSFTV_643"
"E2",6,"Control",76245,"NSFTV_643"
"E2",6,"Low water",69147,"NSFTV_643"
"E2",7,"Control",95983,"NSFTV_643"
"E2",7,"Low water",80808,"NSFTV_643"
"E2",8,"Control",110737,"NSFTV_643"
"E2",8,"Low water",88791,"NSFTV_643"
"E2",9,"Control",132761,"NSFTV_643"
"E2",9,"Low water",94008,"NSFTV_643"
"E2",10,"Control",158048,"NSFTV_643"
"E2",4,"Control",51111,"NSFTV_643"
"E2",4,"Low water",45602,"NSFTV_643"
"E2",5,"Control",62361,"NSFTV_643"
"E2",5,"Low water",54851,"NSFTV_643"
"E1",12,"Low water",104648,"NSFTV_643"
"E1",13,"Control",239919,"NSFTV_643"
"E1",13,"Low water",107668,"NSFTV_643"
"E1",14,"Control",269020,"NSFTV_643"
"E1",14,"Low water",109370,"NSFTV_643"
"E1",15,"Control",333075,"NSFTV_643"
"E1",15,"Low water",107186,"NSFTV_643"
"E1",16,"Control",357716,"NSFTV_643"
"E1",16,"Low water",105212,"NSFTV_643"
"E1",17,"Control",424346,"NSFTV_643"
"E1",17,"Low water",105513,"NSFTV_643"
"E1",18,"Control",497272,"NSFTV_643"
"E1",18,"Low water",110294,"NSFTV_643"
"E1",19,"Control",528949,"NSFTV_643"
"E1",19,"Low water",112322,"NSFTV_643"
"E2",0,"Control",22358,"NSFTV_643"
"E2",0,"Low water",17308,"NSFTV_643"
"E3",8,"Low water",69876,"NSFTV_643"
"E3",9,"Control",106935,"NSFTV_643"
"E3",9,"Low water",81049,"NSFTV_643"
"E3",10,"Control",131641,"NSFTV_643"
"E3",10,"Low water",96092.5,"NSFTV_643"
"E3",11,"Control",153625.5,"NSFTV_643"
"E3",11,"Low water",104208.5,"NSFTV_643"
"E3",12,"Control",183398.5,"NSFTV_643"
"E3",12,"Low water",110572.5,"NSFTV_643"
"E3",13,"Control",218491,"NSFTV_643"
"E3",13,"Low water",117293,"NSFTV_643"
"E3",14,"Control",253839.5,"NSFTV_643"
"E3",14,"Low water",118277,"NSFTV_643"
"E3",15,"Control",296468,"NSFTV_643"
"E3",15,"Low water",128242.5,"NSFTV_643"
"E3",16,"Control",348036,"NSFTV_643"
"E3",16,"Low water",137306.5,"NSFTV_643"
"E3",17,"Control",426081,"NSFTV_643"
"E3",17,"Low water",143670.5,"NSFTV_643"
"E1",10,"Low water",94577,"NSFTV_643"
"E1",11,"Control",164170,"NSFTV_643"
"E1",11,"Low water",96528,"NSFTV_643"
"E1",12,"Control",206122,"NSFTV_643"
"E3",0,"Control",14536,"NSFTV_643"
"E3",0,"Low water",14405,"NSFTV_643"
"E3",1,"Control",18946,"NSFTV_643"
"E3",1,"Low water",18420.5,"NSFTV_643"
"E3",2,"Control",22397,"NSFTV_643"
"E3",2,"Low water",22036,"NSFTV_643"
"E3",3,"Control",28455.5,"NSFTV_643"
"E3",3,"Low water",26556,"NSFTV_643"
"E3",4,"Control",37102,"NSFTV_643"
"E3",4,"Low water",32956,"NSFTV_643"
"E3",5,"Control",45022,"NSFTV_643"
"E3",5,"Low water",40383.5,"NSFTV_643"
"E3",6,"Control",55936.5,"NSFTV_643"
"E3",6,"Low water",48724.5,"NSFTV_643"
"E3",7,"Control",71002.5,"NSFTV_643"
"E3",7,"Low water",58697.5,"NSFTV_643"
"E3",8,"Control",89413,"NSFTV_643"
"E2",20,"Low water",144163,"NSFTV_643"
"E1",0,"Control",12850,"NSFTV_643"
"E1",0,"Low water",13900,"NSFTV_643"
"E1",1,"Control",17380,"NSFTV_643"
"E1",1,"Low water",17631,"NSFTV_643"
"E1",2,"Control",22825,"NSFTV_643"
"E1",2,"Low water",22033,"NSFTV_643"
"E3",18,"Low water",151300.5,"NSFTV_643"
"E3",19,"Control",587997,"NSFTV_643"
"E3",19,"Low water",159193,"NSFTV_643"
"E3",20,"Control",671509,"NSFTV_643"
"E3",20,"Low water",171491.5,"NSFTV_643"
"E3",21,"Control",776011,"NSFTV_643"
"E3",21,"Low water",180895.5,"NSFTV_643"
"E3",22,"Control",855538.5,"NSFTV_643"
"E3",22,"Low water",189184,"NSFTV_643"
"E2",15,"Control",329211,"NSFTV_643"
"E2",15,"Low water",134136,"NSFTV_643"
"E2",16,"Control",385335,"NSFTV_643"
"E3",18,"Control",507749,"NSFTV_643"
"E2",17,"Control",439910,"NSFTV_643"
"E2",17,"Low water",122693,"NSFTV_643"
"E2",18,"Control",492412,"NSFTV_643"
"E2",18,"Low water",139885,"NSFTV_643"
"E2",19,"Control",583610,"NSFTV_643"
"E2",19,"Low water",149909,"NSFTV_643"
"E2",20,"Control",623987,"NSFTV_643"
