v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v
35181	18224	24968	25261	15562	19933	45334	40801	37792	20923	39348	28275	39819	31991	30709	27163	28918	30503	23556	27432	41773	17336	43723	27695	41648	33955	26259	46325	29383	27298	26315	26152	25171	16362	26270	31781	36840	22227	15360	32580	30529	19047	46698	31542	16060	22757	14639	31658	23464	26478	24946	32091	15070	13592	41025	31781	31551.5	24731	14520	42173	22768	37029	37740	23281	31399.5	33667	15482	38818.5	26312	22249	39379	15954	23685	8160	45432	26612	13246	46468	29254	26373	17702	17004.5	22027.5	36157	38600	20266	26317	21228.5	26585	33472	21947	25726	38811	27652	39176	30355	36550	39027	30213	33505	28962	29395.5	27681.5	34189	20295	27707	16455	21420	16868	25714	46110	36571.5	47228	35586	28789	33560	40711	30062	38756	52337	37987.5	26244	42486	44771	19703.5	34955	27570	32263	22380	42940	35936.5	21253	47825	30947.5	37900	23145	24548	35978	27312	21753	32087	17004	29199	52176	26461	26978	55743	9124	29987.5	37431	41736	32658.5	21211	27552	29295.5	24173	35287	20313	24155	20833	32140	23043	30533	27057	29198	13873	23805	23166	17406	17508.5	20293	39228	20508.5	29459	31737	42384	28785	31709	17246.5	17561	21630	56303	24155	23210	23507	19261	34047	27027	35349	7138	44311	32318.5	17984	18328	31750	26857	22787	21354	24745	18872	27689	25561	22627	32445	22651	27218	23142	22120	41111	24915	28279	28486	27705	15775	53141	33324	17245	25971	35815	40804	18061	21911	44115	29930	40069	15611	38150	47713	35433	30423	30510	27581	40330	26966	28412	27702	35336	19195	30852	29672	49406	29796	18898	26999	31595	21386	23779	19034	30147	44125	36031	21228	31622	36495	35489	28463	27322	32089	24633	14772	42316	39638	31918	24526	17143	61893	28933	23086	44779	30022	24463	22834	30276	40301	25953	24844	31176	37535	31916	22337	20745	38627	17740	33305	34696	34690	22568	22596	46895	49112	37752	35098	20687	30333	24019	16903	13570	17735	26669	19257	29320	15610	24288	28238	26399	33251	30594	32530	18716	12646	16747	23837	33296	31901	27431	25692	31175	40470	15002	19827	48414	20285	23341	52212	44959	38196	30545	35106	35579	17533	24615	27125	23215	21820	31879	23638	48455	24961	26436	28052	11394	43707	30847	12942	14691	24325	44601	28497	29140
43677	21044	32487	30930	17989	24091	62120	52238	43873	24682	48964	35754	48116	39183	37151	34511	35196	37014	27446	34390	51824	20928	59668	32037	51893	42775	33845	56148	36997	37083	32378	32913	29800	22467	30712	41824	46652	28099	19608	40003	38388	20248	59906	35483	18591	25917	17586	35678	29451	32587	30372	36593	18767	17690	48324	38010	40970.5	30519	17996	54485	28898	45649	43390	30630	39062	39412	19851	46643.5	32306	25915	47095.5	18270	27129	12678	53038	31967.5	16960	58526	33058	30525	19853	21894	28109	44766	44630	22280	31840.5	25739	28705	40619	24884	31889	47758	36493	46970	38554	42750	48473	38478	40713	36848	33943.5	32936	40159	24473.5	32009.5	20851	23922	18627	30717	52252	45007.5	57658	43839	32552	44338	50046.5	37432	44400	63952	46670	30745.5	52213.5	55823.5	23267.5	43366.5	35245	42668	27591	52242	44785	24481	56352	39043.5	44351.5	27924	33109	41417	31965	25428	40444	19923	36415	65977	29670	34163	62098	9949	36425	47603	52429	37294.5	26771	33556	37446	26176	38901	27211	29854	26754	38433	28163	35405	33769	32129	17100	28155	30039	22187	22586	24362	50868	25460	35946	37807	49847	35019	38203	19734.5	20145	23593	67453	27440	27763	28108	25464	41277	33588	42864	8030	52518	36856	23017	22985	35756	35572	24580	28127	29088	22454	36699	33100	28541	39293	29223	35539	31148	28200	48394	27795	34885	32393	36943	17920	63359	42449	25923	33354	45391	50632	22188	25381	49959	40009	48962	18954	45617	58882	42686	40690	36381	35129	49316	33728	38712	35078	43738	27041	36991	39268	61331	37405	22746	33520	42045	28159	27912	21930	36978	51702	45061	27453	37799	45369	43389	32349	34214	42166	30163	21632	56715	48796	37024	31276	19466	80645	35263	27181	49864	34487	27566	26883	36056	50887	28674	29674	37561	42934	40931	27380	27536	46685	21092	38320	42281	41677	31107	25787	57759	61319	47568	41702	25253	34058	30488	17827	16097	23677	32944	24600	35952	20621	31387	36085	31463	40189	37001	42123	22578	14007	19892	29602	41493	36270	31822	30443	38880	48794	17649	23124	54567	27462	29206	60128	52248	41301	37075	40227	43405	20522	28986	32936	28252	27871	39430	30046	56207	30499	30025	33560	15408	54332	37425	16413	18965	31370	55656	32075	33122
52223	26988	40737	38019	22948	29804	70520	65586	48738	31587	61800	41114	55130	46915	44845	42008	39809	48384	32303	35297	64261	26841	67581	35243	59925	53941	40605	60614	43535	45582	37201	41170	34170	26635	38721	51632	54507	34791	24296	48112	46562	25973	67022	40655	27756	30839	22827	43944	35849	38783	36279	45026	21508	19714	61887	45026	48600.5	37213.5	23336	65561	33993	51322	56352	38229	46749.5	45823	23975	57781.5	38765	31682	57800.5	22662	33997	15250	68067	35014	19441.5	67712	39767	35256	23135	28461.5	33863.5	57352	52249	25314	37975.5	32693	33635	48422.5	30803	42204	61825	45114	56226	47320	52923	53666	46776	54414	47953	44691	41855	46724	30114.5	39098	24405	27868	26707	40988	61194	55829	65287	47920	35594	54948	60106	44710	50244	72113	57774.5	37500.5	66080	68526.5	28115	50883	39968	54444	34185	64054	49500.5	31060	71602	44821.5	51566	32780.5	36150	46859	35145	29568	51499	23621	43745	78423	39404	41824	73539	10948	42232	58459	63745	44161.5	32285	49552	43956.5	32456	49582	33943	37282	29678	45915	34303	39453	45585	38137	22676	35768	35984	26318	26247	29125	61473	29206	44630	47576	56230	45978	46062	25777.5	24572	27745	80312	36666	33778	34787	30764	51972	39539	54073	9779	62947	42724.5	27753	28262	42389	41594	28008	30650	33756.5	23950	43680	39916	35583	50320	32358	44011	37315	36209	58346	36188	38855	41703	42522	24373	78269	54308	29730	44145	46503	63144	26595	31907	59644	47286	61563	21679	59544	67539	58170	48371	44535	37472	60873	41842	49032	42925	54992	32554	44729	47010	73180	42322	25792	44382	49993	32393	35875	26198	38182	68376	54500	36403	48650	58766	55139	35896	38545	49876	39013	25490	67531	58654	46230	36311	23704	97798	43394	31490	55924	39026	32956	30739	44261	62754	34512	36915	48384	50371	53926	35457	29715	57569	26902	41881	45979	48728	34215	33317	66863	71747	61672	49454	29321	47709	38015	20028	17584	32534	40677	30093	44500	24055	40171	45067	36807	47904	48554	51845	29272	15478	21494	37066	49928	42223	36565	35205	48237	52726	22556	28958	62668	33915	35354	71755	59714	51077	42924	48690	55240	25353	34559	39214	38011	33072	52404	36249	64663	35917	38655	41449	20015	67476	45594	20541	23462	37360	64863	36285	39632
57125	30501	50031	48342	27077	40062	82242	80490	56444	37369	75578	47480	58466	54251	54010	54826	48506	59099	40155	40269	75817	34102	81147	40667	70556	63154	47496	76334	56195	49688	41678	48342	41848	32090	48281	64898	64139	42380	29728	59273	61296	32735	77264	46047	34378	36920	30900	52630	43712	47311	48326	57828	26292	23127	79142	56981	57004	45356.5	30103	76113	37099	58938	65775	42112	55089.5	56207	27790	69678	51644	39876	66376.5	28260	41837	15682	78655	41355	22467.5	76141	48535	43906	27898	33077.5	40374	69105	64138	31052	44380	38621	43824	59632	37875	53140	74943	51685	70423	54276	60897	62176	56066	66735	56240	50916	50185	53990	36690	46490	27859	32475	31379	48937	76001	67342.5	72241	55592	42365	65390	69474	56479	58112.5	86544	67928.5	45624	79851.5	80051	34357.5	58394.5	45460	65216	39541	75198	54201	38033	87353	55838.5	59897.5	41555	44354	56011	42004	36311	58287.5	29320	54824	91099	54282	52225	90590	11555	48327	72237	79050	51765.5	40574	58539	49812	37445	52861	41637	47652	33557	58895	40012	44917.5	52451	45502	28620	44570	42052	32326	31521.5	35911	68614	34164	58063	56883	64858	55202	59429	30905.5	30762	33999	89472	48536	37523	45137	36273	64466	51562	62413	10364	74818	53551.5	32488	32190	52621	48978	32102	38209	41190.5	27607	50721	50299	42932	61508	40212	53817	44114	44334	68164	48330	46853	51500	51517	31143	92405	65396	34070	50623	57128	76704	33499	40289	67400	54219	74777	27365	68239	79738	67152	53248	60596	47648	78002	52745	57213	55604	64750	36036	53773	55881	83544	51731	32398	55749	58039	39517	42412	34066	45651	89032	68409	45293	58748	66375	63812	38960	45045	64568	46707	30600	76496	66710	51389	43011	28671	106842	51099	37454	61110	47186	40043	35234	54644	73067	45678	45889	58585	62449	66379	42038	36460	71500	32987	50655	56968	54227	37736	40139	75118	88340	71215	65817	36366	59765	42784	24775	22668	39259	52672	35804	54357	28530	47262	52082	40883	57756	56410	63500	35267	18829	24379	44136	58856	49698	47089	40421	57063	64877	27571	33370	75537	42668	41715	86795	75341	62250	56012	59369	67662	31095	46276	47106	43926	37380	60745	44658	76031	43461	45651	54468	26985	83401	47858	24008	26465	46280	79512	43080	50923
67162	33863	59948	61542	30068	51278	96468	97976	65313	47641	91375	57852	77207	66958	64131	72256	62114	70942	50046	52045	84609	44883	95508	49304	82452	72998	59684	94302	72398	63254	43837	55144	50433	43663	59818	78858	78361	54363	35883	74774	77450	41424	90522	61684	40509	44028	37874	58448	52784	65926	56726	69295	33622	29540	88493	68998	70421	55577	38711	86208	46302	69313	78015	45632	66386.5	67868	34267	80444.5	64649	45890	80546.5	37015	51124	19571	89873	49267.5	26585.5	89829	55893	57527	35414	37780	47407	94506	74094	41990	54714.5	48361.5	56990	68933.5	48938	64844	84920	65756	87013	66532	70858	75531	66306	83867	64511	59840.5	58364	67749	46100	55937	35621	40365	38599	61286	82428	80624	89684	66299	53702	77228	80519.5	71560	68775.5	106258	86805	54673	93203.5	98661.5	42986.5	71542	63651	79203	50404	93566	62620.5	46603	101724	69820.5	80004.5	54952.5	59086	70288	60103	41904	67778.5	36461	70995	112626	65330	71517	104570	13452	59641.5	95394	93568	63004	50414	64634	65219.5	47261	58791	54077	63273	42680.5	73600	51441	55025	61583	51188	36157	60129	51574	39697	40179.5	47271	83470	40084.5	70631	70364	89853	64403	73538	36811.5	39720	38806	102681	56175	42556	55233	45789	79731	64823	72928	11450	82592	68445	44286	39182	65726	65417	38121.5	47840	50366.5	33986	67103	63365	54466	72952	51703	64369	60041	53434	80010	61197	59180	59082	65210	39904	104334	73605	44482	62431	66214	82276	40713	49549	78853	74291	84748	37266	81840	90573	83876	68988	75008	56808	97940	63581	73612	67236	79122	44609	61797	71169	93940	63869	38257	66417	72180	48982	49366	45054	55757	104581	80203	57103	71250	75661	79002	55027	50564	80089	56363	38940	90762	82291	62924	49992	33760	123369	60957	46931	70807	54470	48656	43421	63862	90239	59243	56231	67146	76254	75854	56625	48586	78471	40123	63335	69873	62407	45930	45835	84552	102250	85010	74224	44049	70294	54998	33692	27702	47258	65466	45389	70934	36823	60717	69789	49463	65693	61979	73501	44680	20595	31352	60135	71408	56498	57254	53055	67355	78175	33714	34402	80166	52733	56544	103202	90847	69987	72147	68005	87838	35939	54154	56320	52541	49439	73819	61536	81246	54352	53766	64700	34593	96032	49504	29324	27996	57671	91195	50314	59416
74754	37909	71162	73933	35200	61016	111318	122356	69007	61373	107526	75421	83072	78292	70944	86698	74817	76998	60207	63231	97823	56795	111630	57743	94545	85572	69710	106131	86629	74206	50286	67013	57203	54810	67989	100657	93523	70938	44705	83028	92586	46857	107330	67780	43041	52790	41407	69984	61959	77220	64573	80990	42839	36402	106485	75963	88409.5	63948	44191	100788	53301	80420	87104	53655	75024	70806	45598	90465	74657	57964	96317.5	42131	61983	27296	101104	57567	32057	97936	66364	69218	40018	42084.5	58145	110646	85662	51413	63080.5	57727.5	68126	78745.5	55735	78295	100736	81782	94698	82434	76109	82188	73682	96322	76282	71312	65607.5	76794	54998	62367.5	42318	45300	42689	77084	88399	95050.5	101843	79226	58973	88981	93438.5	82615	79288.5	124213	100575	60294.5	109870	117366	49889	82236.5	78405	100388	61334	109516	78284	55594	113299	82951	89299.5	61723.5	70825	81198	70049	45560	82337.5	42330	82848	128032	79334	88617	116654	15798	69956	112854	101586	72798	61800	63740	80285	56735	66576	66210	78360	54972.5	88937	63040	67219	71364	53787	42063	71667	64637	50603	50362	54151	101537	49196.5	90150	82482	104253	75124	95476	46519	47567	43853	111974	70057	45569	64797	58014	94399	74672	87494	13900	95344	78125.5	49092	46726	76365	80661	40352	61021	56547.5	39407	85471	73880	63245	80355	59698	78452	78618	58279	89110	71866	68939	68373	78568	49789	116689	87131	55228	79743	68746	87821	51361	55003	83931	91820	95889	47945	86523	107797	99265	84512	82803	65515	109544	76269	92490	83255	91021	61951	75862	92839	101079	78120	40665	84222	94476	63188	54853	51403	62147	123286	86749	68658	77058	82665	95586	68911	60594	96290	68222	47064	97049	95677	59501	60138	40323	144198	72686	56899	79814	59020	52475	50134	79482	111023	67737	68556	78322	89671	89251	67420	61072	80532	45738	67459	78978	71448	56300	55106	97036	120562	99944	82701	53633	81212	66117	39645	30847	58091	81436	53840	86378	47653	74932	80821	56560	79663	72136	86069	59081	21493	37667	69438	84322	64246	66222	65921	79229	95226	38296	39637	93985	61509	68740	112008	99968	78056	83031	72175	109563	34768	63339	63712	62253	61391	86097	79194	97974	69083	60998	76465	49128	108184	53941	38725	30743	75031	100452	58903	67329
85915	44060	81837	88816	39389	68680	127640	138571	80902	73164	124908	82509	90194	83485	76779	97744	83724	93617	64025	69957	109383	66283	124617	61983	107509	98535	77946	109694	97077	87051	57486	80943	61494	64281	76330	121126	103078	84199	60259	85926	107812	57007	117537	73908	46693	60996	52238	78302	71308	83682	67809	90656	49628	43443	120146	81926	100021.5	70122	53685	111423	67710	84992	100845	63634	84823	76087	56260	100864	88628	68645	105053	42641	72113	32117	114049	66903	38762.5	101613	72602	79824	44790	49177.5	71528.5	128253	95820	55012	74981.5	66851	80158	89851.5	61365	87106	118381	97298	113810	96511	86245	86848	80558	111716	82220	85212	77960	81471	66857.5	72580	52549	48523	53176	88755	93369	111913.5	107154	87783	65690	98143	101974	93220	87759.5	136000	115751	67717	123320	127789.5	56614	91082.5	87127	127057	76731	119460	90884.5	68108	125917	95487	98744	68436.5	72076	88601	76182	50966	96294.5	49421	101022	143514	92426	100144	124435	18798	83884	131012	109910	86539.5	81928	67197	91110.5	62871	72948	78826	97330	63894	101067	73738	74046	79017	56594	48160	81818	77726	62375	56961	62283	117796	55262.5	104935	99133	108855	83892	110077	58656.5	58480	54558	113363	81291	54203	74470	66849	115207	93671	98778	17253	102574	86261.5	54107	56478	83230	91530	45770	65525	65362	42806	95438	87163	77399	89406	65897	90750	95116	67966	98977	83743	79792	77847	95717	62733	124719	96540	63827	91728	74037	98040	58315	63595	92597	107714	101696	52991	93421	121702	112110	99723	99941	72056	127236	96254	116607	95731	120464	73693	96340	111908	114231	84118	42126	99207	106951	73661	69925	55826	68591	138438	93477	86353	95747	91889	109665	63881	66530	111898	83548	57931	105168	100537	69796	68974	47303	166141	81246	64324	87519	72106	55934	56722	92675	130325	77039	79920	86941	96808	100261	81861	70983	83307	53995	70330	83416	81200	64929	67074	108070	130630	111500	94319	57954	90192	84379	44823	33371	72842	102590	62450	98961	54574	89966	101119	62185	89374	83395	97863	75339	24661	41240	84806	94577	72536	78507	78527	89003	98431	47023	42082	102146	71929	81549	117612	114299	88549	96217	81444	135302	38580	70264	73900	73158	72621	107656	90460	107626	81172	68664	93768	64009	129784	62564	45669	34486	92957	109274	66749	75235
95391	49611	99840	99652	44748	85049	141298	147113	84377	84448	142988	89099	92718	86871	80861	112911	92301	117327	73083	72035	119161	82217	133435	66471	117655	118301	93644	116172	107752	101690	60892	88297	67952	75632	88896	138278	111507	95986	72668	97052	134152	67370	122089	79030	48337	73328	68779	89497	80923	96509	75478	99960	56343	50071	132782	87267	110221	78070	61847	119586	74909	91468	105095	75073	93620	83396	64977	109945	106878	79162	116482	46498	84819	34464	124132	74308	43335.5	114656	72837	87076	48141	57306	83064.5	150089	111436	62545	80409.5	79261	92827	100851	70179	102768	131956	111872	139228	105409	89249	91318	87823	129909	89872	97921	84127	84414	73295.5	84208.5	58965	50697	63833	104040	102521	131584.5	114937	89517	69802	105368	109886.5	107067	99322	144018	126602	81839.5	134480	135645	61787.5	100616	93473	147220	88606	134555	96531	81670	129845	104272.5	108815	76200	85359	93351	89370	51839	108203.5	52357	120715	160270	117280	117684	129904	22834	93038.5	151344	114533	100501	92609	74533	101252.5	73217	80145	96747	110168	71137.5	121309	85526	80385	88589	62075	56981	92039	93811	72278	65090	70648	125450	62373.5	120527	117998	112989	87805	119680	69494	71666	62750	117393	95082	60513	94185	78468	128275	112654	108663	20403	106991	89493.5	61932	62958	98771	103745	52858.5	70731	70235	47138	109086	101991	84887	96579	69220	104273	104788	80030	108982	95978	91342	84829	106518	70006	131950	106104	71677	102068	78338	105379	67218	80096	100792	118497	106019	61785	104521	130856	119470	109877	119130	74381	147464	108962	141570	111301	136910	81918	119553	116554	123393	85020	43698	114233	114914	78670	77596	68420	69343	160521	100523	102833	104607	98793	119903	70365	73766	129414	95901	61030	120123	114401	75481	77472	55710	183319	82673	84197	91393	80649	61458	61569	105187	143876	92039	97676	93510	105538	111548	94814	85646	87542	65819	73854	87679	87991	73505	81551	117571	139759	133948	114249	74244	101447	92401	49918	35293	83544	119853	69948	109244	56698	101197	116764	72832	95468	91450	107708	90443	28380	43806	94123	96528	80771	90995	90442	93888	102432	52824	44290	109082	88213	92848	123603	125916	91777	112036	91480	155347	40485	80443	85720	86363	77311	124290	95841	118636	97596	73572	108133	65914	138948	72437	53238	38217	102234	112273	66167	80197
100703	54990	110791	116240	53136	105918	153672	157319	86474	95293	156987	97231	91734	95014	96304	131559	104931	129084	88818	75973	129002	99709	136581	72709	121273	126313	109327	126986	126193	107862	68341	99604	76527	93031	114977	159255	118873	107653	81101	104132	152887	80032	131642	79714	51066	85181	85162	95099	89696	106948	81433	106259	68280	49991	143000	98212	116178.5	86654.5	75442	127910	81261	94378	109753	79524	102241	89755	72217	118876.5	123563	92972	125386	49984	98858	36959	134009	84621.5	49084.5	128197	81441	97521	53059	62992	91037	180594	123945	73673	92772.5	92102	108588	110901.5	78859	116937	139920	128415	163263	120064	95302	94867	87422	143567	95933	108623.5	95359	94762	80572	95341	66388	56351	70780	113018	110513	151355	117418	92118	71695	109049	117238.5	119768	109197.5	147539	137392.5	90223	141822.5	146790.5	75624.5	105100.5	104221	166149	93101	143921	105498.5	96911	137899	120618	123166.5	85002.5	96980	93844	98582	54720	114680.5	55778	134552	166099	143371	140208	134979	26237	99357	171088	116589	106532	104890	75423	110720.5	72247	78802	114792	128855	73417	147483	95861	85078	98841	67374	67351	103657	104988	77624	72957.5	89302	134335	69539	128137	119413	117255	95955	135135	82017.5	80394	67414	121347	108920	65012	110170	91214	148477	127773	117130	21984	113131	96319	74045	70027	118825	111900	57555	75397	78801.5	55728	116348	113884	96851	104090	71584	113485	114676	93925	119375	110252	99852	93481	123404	84159	140077	115122	75958	119297	82859	109534	76401	96029	109796	131716	109255	75324	109080	135535	133549	124083	138804	79519	160443	123133	166502	126345	158137	87124	136022	137817	121068	91175	49558	127472	126647	89487	86060	81144	76363	178278	105048	115673	101984	107150	132834	73989	82157	146092	103958	71615	125851	121912	80955	78393	68545	185190	91916	90572	93271	85072	69148	65475	120441	156135	109986	110801	102486	114330	125549	103745	98956	90770	73062	74375	96172	92554	83308	94934	128751	146515	145811	133389	84601	109224	106401	60068	39624	90554	138644	76621	120386	70913	112963	135048	77470	105921	100344	119664	106936	32930	46280	109489	104648	81422	97382	103471	98764	105395	63029	50513	107597	104768	109576	129215	134231	98545	126788	95666	169782	43644	94201	96366	97440	87366	134594	105773	135605	115905	78828	122917	76938	146022	75572	59455	43182	107907	126939	71690	87917
102837	58489	118454	139061	62620	118823	162554	168379	91051	117358	172458	104507	94036	98360	103057	153072	120733	143795	104693	79430	138452	117506	138519	77791	122804	147065	129297	134185	139729	112088	76126	111575	80664	112126	131333	178656	126278	127325	91606	111718	167124	90288	134454	91093	56819	97314	91811	100840	97303	123951	88822	110842	79601	52741	154312	105083	122224.5	96582	84942	130854	89518	98665	114633	84062	112231	91017	84217	126064.5	140065	103725	125440.5	56963	119171	39087	135940	89788.5	55615	130976	95769	107573	60189	66753	97409.5	208755	133419	92847	98272.5	106869.5	129849	120103.5	85931	132288	148089	146243	191653	140269	96677	94215	95490	156651	98454	116631.5	103942.5	97571	98246	105159.5	72850	60926	78639	123398	114963	163803	123528	96103	72499	118341	124069	129651	112400	151626	148960	95237	149044.5	157981.5	87828	111224	120380	198144	104270	146518	117933.5	104299	148624	139601	135478.5	95498.5	108463	95840	112290	59253	120819.5	60582	152566	164787	160952	174317	136649	30235	111058	186073	125467	113746	117359	79279	124908.5	71800	85466	133682	144591	80789.5	166371	109488	89747	104263	73121	80231	122938	117942	85576	82897	100899	139999	76657.5	136981	129958	116496	106995	154818	85627.5	86326	74298	123943	118179	71135	125800	100144	168077	142786	122589	22325	117416	95575.5	85455	79376	142573	119763	66277.5	80242	86748.5	62604	143111	131215	105518	115720	82887	127100	137321	102441	124985	124416	113895	100620	132684	96609	141089	118685	84522	133896	79699	114733	89595	107983	114181	145609	107482	94682	116645	138597	146518	139856	153918	88526	168716	135688	195387	137959	179680	100016	141697	163958	128337	99501	55791	146063	150610	100648	95523	100512	80744	186831	113543	130651	110248	113580	139078	84435	90976	158350	113324	83898	128706	127294	87686	86294	75379	183246	98463	98270	96556	91972	74390	69111	131693	165712	125549	132610	109771	124494	134286	117273	118928	100033	79237	81315	101179	97132	96652	104159	135067	148813	156471	150406	101345	116737	117982	71611	45766	102155	154849	84395	134269	83048	131370	156541	88766	113105	106146	135486	119328	36264	49265	127907	107668	93243	114557	118113	101647	107238	71164	54377	110666	115839	124208	133942	140443	104164	141878	100411	183848	47408	114882	111889	114675	92846	151287	118670	148541	130540	84893	135931	89277	151130	77964	68395	50213	116168	133511	79324	94690
103616	59555	122856	157307	69441	129277	168573	179004	88599	138492	179815	118194	95745	107444	109577	173473	134904	160944	126722	82371	147522	131680	137996	79113	127591	160163	142514	137827	147568	114424	79869	116492	84753	126294	144936	193618	130903	142445	104006	113164	174510	94589	136936	99632	59418	114048	100566	107633	104641	135810	90989	114061	88835	59581	159025	109107	131479.5	102200	91964	134995	96968	108169	115691	86985	116570.5	90943	92281	127533	147725	105003	132048	63881	116847	41253	138411	94312	64155	134412	101263	114818	64377	68149.5	104242	235910	143315	101984	107318	113328	141569	131514.5	98539	148273	151459	157196	218552	161607	98202	90533	96356	165556	99831	124978	106599.5	98896	106561.5	114842.5	78941	63640	82431	139395	114577	173760.5	119267	100289	73911	126302	126763.5	135798	122276	160879	157235	99987.5	153001.5	166437.5	93419	117062.5	136329	222569	117764	142661	130778.5	111553	150950	146311	144866	100886	121836	103558	117163	64127	130230.5	64465	161518	164474	167093	191477	133670	34366	124522	192542	124219	120272	138447	83158	134169.5	70719	72750	146648	161408	89409.5	176416	116945	96139.5	114924	78094	85684	139682	132984	91073	92688.5	104946	78549	84481.5	151518	137204	120008	101063	180252	93499	89546	80096	127594	134783	75588	130330	112511	177800	157191	125025	24230	110398	96228.5	93537	90223	148032	130387	73558.5	86426	90518	72005	163919	141506	107281	123375	92109	140930	154799	107202	135122	126887	126981	105911	141627	110348	139494	120451	98228	154394	82270	107643	101905	113230	111427	155826	103796	105323	113382	137538	151877	155053	162768	87589	166937	151016	218002	147334	207870	113092	151374	193597	132662	107596	61722	159638	162784	115186	108197	107342	80542	183885	117273	145337	128232	121201	138857	92260	95182	165052	125293	92956	127011	130021	93716	89079	84284	187754	103151	110680	92785	99069	78878	71714	141912	173135	135256	135153	116803	130011	135591	127344	136323	100118	82798	85227	104491	96767	112658	103951	145321	146189	159116	158831	110576	117492	123428	82703	50646	109956	164267	91406	141801	97226	141757	173875	91180	122305	113068	144147	132480	37576	51954	144372	109370	96840	120870	130907	104807	104687	81805	59195	107298	126205	135688	145433	148964	107712	142932	101290	190910	50361	124097	127484	125854	104917	160851	122605	159647	141990	86293	142916	91248	151703	90017	78096	52515	120411	137296	86413	104398
106265	62858	135821	173653	77460	132335	170380	183327	87824	151336	186990	123842	102841	111139	115065	184252	140841	176134	137236	89767	156568	148206	136653	79639	130248	171020	155817	149351	153068	121705	79385	127762	91855	150782	157043	209094	137632	168398	130769	120463	180452	110656	137945	110210	65206	135981	112169	108994	118071	141231	98414	121235	106679	67731	165251	112546	141415.5	110302.5	103793	140465	104482	111569	121786	92365	119422	102372	104913	131597	166286	110495	135753	74433	126620	56654	142701	97069.5	73648	136705	111978	125537	68896	70524.5	114488	258519	146356	113774	118792	122423	152932	143088.5	110643	166013	156103	172543	237172	175005	103433	91329	95187	175552	102141	131439	112273.5	111781	112057	126401.5	91181	70991	92196	143334	115412	190063	126152	118886	77267	130800	133277	149115	134471	161456	167465	106734	163225	167994	102801	123792	158388	260602	135245	146552	144160.5	121326	155111	157212.5	149630.5	109135.5	138312	115002	127679	71468	141600	68208	180596	167771	164523	204064	140830	38247	137013	199969	125716	127059	163054	86177	144776	72831	71505	166120	175000	103049	188085	128653	108890	122386	84428	96369	150398	150620	101264	103696	112349	146002	90197	167907	148199	132630	109568	190725	107850.5	103574	85509	127158	139322	77684	137409	124223	187845	171571	128916	31161	110344	92189	103055	99918	157692	144157	81868.5	90129	97644.5	78576	190404	157069	118953	133292	99673	156260	173587	113856	137503	135357	135783	111177	150061	118346	149500	120517	105138	167868	82248	113836	119220	120751	120100	167462	102338	112432	112934	144249	167130	172712	163261	92034	167162	171080	249965	159450	222143	129338	154007	203896	141186	112460	66118	178914	176477	126429	118446	118431	82485	181846	127779	162489	134360	127758	140198	100527	102353	173989	148074	107269	132034	134973	100494	95484	88993	188513	112793	126363	97302	103928	90626	79537	153955	176904	143574	149150	121854	135700	141203	137876	152401	101811	94266	89335	109920	102015	124500	109820	152050	151431	160410	164091	123999	124218	135264	90324	55649	124485	167849	103614	160338	110553	156055	196832	102932	129368	114689	149838	155094	39622	56093	165900	107186	105486	122780	145203	105147	103797	91120	63461	121862	146370	150537	144213	155630	108975	149685	106105	202122	56539	135743	147134	146411	115820	181849	125983	177761	163510	91586	167887	103157	151303	93407	90679	54544	129738	140906	92769	117246
